NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023
2,10062E+11;2024;5;F;1;1;1;1;3;;0;4314902;Porto Alegre;43;RS;F;F;C;D;4;B;C;A;C;D;C;B;B;A;B;B;B;D;A;B;B;E;A
2,10062E+11;2024;11;F;1;1;1;1;10;;0;4318903;São Luiz Gonzaga;43;RS;B;C;A;D;2;B;E;A;B;B;B;B;B;A;A;A;A;B;A;B;A;C;A
2,10062E+11;2024;11;F;1;1;1;1;9;;0;4320107;Sarandi;43;RS;H;F;F;D;5;B;J;A;C;D;B;B;C;A;B;B;B;D;B;B;A;D;A
2,10062E+11;2024;3;F;1;3;1;2;0;1;0;4313409;Novo Hamburgo;43;RS;B;B;B;B;6;A;C;A;B;C;B;A;B;A;B;A;A;A;A;B;A;D;A
2,10062E+11;2024;16;M;3;1;1;1;18;;0;4309209;Gravataí;43;RS;B;B;C;C;2;A;A;A;B;C;A;A;B;A;A;A;A;B;A;B;A;B;A
2,10062E+11;2024;12;M;2;1;1;1;3;;0;4300604;Alvorada;43;RS;C;C;A;B;2;A;B;A;B;B;A;A;B;A;B;B;A;B;A;B;A;B;B
2,10062E+11;2024;1;M;1;1;1;3;0;;1;4307005;Erechim;43;RS;G;F;E;D;3;A;D;A;B;C;B;A;B;A;B;B;A;B;B;B;B;D;D
2,10062E+11;2024;15;F;2;3;1;4;0;;0;4312401;Montenegro;43;RS;B;B;F;F;2;B;C;A;B;B;B;A;B;A;B;B;A;A;A;B;A;B;F
2,10062E+11;2024;16;M;3;1;1;1;18;;0;4304606;Canoas;43;RS;B;C;B;C;1;B;C;A;B;B;B;A;B;A;A;B;A;B;A;A;B;B;B
2,10062E+11;2024;11;F;1;3;1;1;10;;0;4316907;Santa Maria;43;RS;E;B;C;B;2;A;E;A;B;D;A;A;B;A;B;B;B;B;B;B;B;C;A
2,10062E+11;2024;5;M;3;1;1;1;2;;0;4314902;Porto Alegre;43;RS;C;E;B;F;5;A;A;A;B;D;B;A;B;B;B;B;A;B;A;B;B;E;A
2,10062E+11;2024;10;F;2;3;1;1;7;;0;2611606;Recife;26;PE;B;D;B;B;3;A;B;A;B;C;A;A;B;A;A;A;A;B;A;A;A;D;A
2,10062E+11;2024;11;M;1;2;1;1;9;;0;2933208;Vera Cruz;29;BA;B;B;A;A;3;A;A;A;B;A;A;A;B;A;A;A;A;B;A;A;A;B;A
2,10062E+11;2024;18;F;3;2;1;1;0;;0;3305109;São João de Meriti;33;RJ;C;B;B;B;2;B;D;A;C;C;A;A;B;A;B;A;A;B;A;B;B;C;A
2,10062E+11;2024;1;F;1;4;1;3;0;;1;2302404;Boa Viagem;23;CE;C;D;A;A;4;A;A;A;B;C;A;B;B;A;A;B;A;B;A;B;B;C;A
2,10062E+11;2024;2;M;1;3;1;2;0;1;0;5107925;Sorriso;51;MT;E;E;D;F;4;B;I;A;D;D;B;A;B;A;B;A;B;C;B;B;C;E;A
2,10062E+11;2024;11;M;1;3;1;1;14;;0;2412203;São José de Mipibu;24;RN;E;F;D;D;3;B;H;A;B;B;B;A;B;A;B;B;A;B;A;B;B;B;D
2,10062E+11;2024;3;M;1;3;1;2;0;1;0;3154606;Ribeirão das Neves;31;MG;E;G;F;D;4;A;C;A;B;B;A;A;B;A;A;A;A;B;A;B;A;B;A
2,10062E+11;2024;13;M;1;3;1;1;18;;0;4104006;Campina Grande do Sul;41;PR;D;D;C;B;1;B;B;A;B;B;A;A;B;A;A;B;A;B;A;B;B;B;A
2,10062E+11;2024;7;F;1;3;1;1;5;;0;1702208;Araguatins;17;TO;B;E;B;D;2;A;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;B;A
2,10062E+11;2024;5;M;1;3;1;1;0;;0;4318804;São Lourenço do Sul;43;RS;E;G;A;D;3;A;D;A;B;C;B;A;B;A;B;B;B;B;A;B;B;C;A
2,10062E+11;2024;1;F;1;3;1;3;0;;1;5107909;Sinop;51;MT;C;E;A;B;3;A;N;A;C;D;C;A;B;A;B;A;B;B;B;B;B;D;A
2,10062E+11;2024;5;M;1;3;1;2;0;1;0;1501709;Bragança;15;PA;E;F;B;B;4;A;B;A;B;C;A;A;B;A;A;A;A;B;A;A;A;D;A
2,10062E+11;2024;10;M;1;3;1;1;0;;0;1200401;Rio Branco;12;AC;D;D;F;F;1;B;C;A;B;C;A;A;B;A;A;A;A;B;A;B;B;B;A
2,10062E+11;2024;1;M;0;1;1;3;0;;1;4314902;Porto Alegre;43;RS;E;E;B;B;4;A;C;A;B;C;A;A;B;A;A;B;A;B;A;B;A;C;E
2,10062E+11;2024;1;M;1;3;1;3;0;;1;2805703;Propriá;28;SE;C;D;D;D;3;A;C;A;D;D;B;A;B;A;B;B;B;B;A;B;B;D;B
2,10062E+11;2024;2;M;1;3;1;3;0;;1;1100122;Ji-Paraná;11;RO;F;D;D;B;4;A;I;A;C;D;C;A;B;A;B;B;B;B;B;B;C;E;A
2,10062E+11;2024;6;F;1;2;1;1;5;;0;2918407;Juazeiro;29;BA;F;F;B;D;3;A;B;A;B;C;A;A;B;A;A;A;A;B;A;A;B;C;D
2,10062E+11;2024;4;F;1;1;1;2;0;;0;3550308;São Paulo;35;SP;D;D;D;B;4;B;D;A;C;D;B;A;C;B;A;B;B;B;A;B;A;D;A
2,10062E+11;2024;2;M;1;1;1;2;0;1;0;4119905;Ponta Grossa;41;PR;G;G;E;D;5;A;O;A;C;D;D;A;C;B;B;B;B;D;B;B;E;E;A
2,10062E+11;2024;3;M;1;1;1;2;0;1;0;2616308;Vicência;26;PE;C;E;B;B;4;A;B;A;B;B;A;A;B;A;A;A;A;A;A;A;A;B;A
2,10062E+11;2024;11;M;1;3;1;1;8;;0;2801207;Canindé de São Francisco;28;SE;B;C;A;A;4;B;B;A;B;C;A;A;B;A;A;A;A;A;A;B;B;C;A
2,10062E+11;2024;4;M;1;1;1;1;1;;0;4322400;Uruguaiana;43;RS;E;E;C;B;4;B;C;A;B;B;B;A;B;A;B;A;A;B;A;B;A;C;A
2,10062E+11;2024;8;F;1;2;1;1;6;;0;3300456;Belford Roxo;33;RJ;B;E;C;B;2;A;B;A;B;C;A;A;B;A;B;B;A;B;A;B;A;C;A
2,10062E+11;2024;11;F;1;1;1;1;10;;0;3106705;Betim;31;MG;H;E;F;B;2;A;F;A;B;C;A;A;B;A;B;B;A;B;A;B;B;C;A
2,10062E+11;2024;17;F;2;1;1;1;0;;0;3170107;Uberaba;31;MG;D;D;B;B;3;B;D;A;C;C;B;B;B;A;B;B;A;C;A;B;A;D;C
2,10062E+11;2024;11;F;0;0;1;1;9;;0;4315602;Rio Grande;43;RS;D;B;B;F;3;A;A;A;B;B;A;A;B;A;B;A;A;B;A;B;A;D;A
2,10062E+11;2024;3;F;1;1;1;2;0;1;0;3550308;São Paulo;35;SP;B;C;F;B;3;A;B;A;B;B;A;A;B;A;B;B;B;C;B;B;B;D;A
2,10062E+11;2024;1;F;1;1;1;3;0;;1;4323002;Viamão;43;RS;E;E;B;B;4;A;D;A;C;D;C;A;B;A;B;B;A;C;A;B;B;D;A
2,10062E+11;2024;1;F;1;3;1;3;0;;1;2304400;Fortaleza;23;CE;D;F;F;D;4;A;D;A;C;C;B;A;B;A;B;B;A;B;A;B;B;D;E
2,10062E+11;2024;8;M;1;1;1;1;4;;0;1302603;Manaus;13;AM;E;G;E;D;2;B;B;B;B;C;A;A;B;A;A;A;A;A;A;A;B;C;A
2,10062E+11;2024;9;F;1;1;1;1;7;;0;3163706;São Lourenço;31;MG;C;C;A;B;3;B;E;A;B;D;B;A;B;A;A;A;A;B;A;B;B;D;A
2,10062E+11;2024;8;F;1;1;1;1;5;;0;4322400;Uruguaiana;43;RS;C;E;C;C;3;A;B;A;B;C;A;A;B;A;B;A;A;B;A;B;A;C;A
2,10062E+11;2024;3;M;1;2;1;2;0;1;0;4315701;Rio Pardo;43;RS;G;E;E;E;5;A;O;A;C;D;C;A;B;A;B;B;B;D;A;B;B;E;A
2,10062E+11;2024;3;M;1;3;1;2;0;1;0;4314902;Porto Alegre;43;RS;D;G;C;D;3;A;C;A;B;C;A;A;B;A;B;A;A;B;A;B;A;C;A
2,10062E+11;2024;8;F;0;2;1;1;0;;0;4304606;Canoas;43;RS;E;E;C;B;3;A;B;A;B;B;A;A;B;B;B;A;A;B;A;B;A;B;A
2,10062E+11;2024;13;F;1;1;1;1;0;;0;4315701;Rio Pardo;43;RS;C;A;A;B;2;A;A;A;B;B;A;B;B;A;B;B;A;B;A;B;A;B;A
2,10062E+11;2024;8;F;1;1;1;2;0;;0;4306908;Encruzilhada do Sul;43;RS;H;B;F;A;1;B;B;A;B;B;B;A;B;A;A;A;A;B;A;B;B;B;A
2,10062E+11;2024;3;F;1;1;1;2;0;1;0;4311809;Marau;43;RS;H;H;C;B;3;B;H;A;B;C;B;B;B;B;B;B;B;B;B;B;B;E;A
2,10062E+11;2024;4;M;1;1;1;2;0;1;0;4314407;Pelotas;43;RS;F;E;D;D;4;A;K;A;B;D;A;A;B;B;B;B;A;B;A;B;E;D;C
2,10062E+11;2024;12;F;0;1;1;1;17;;0;4318507;São José do Norte;43;RS;B;C;B;B;3;B;F;A;C;C;B;A;B;A;B;B;A;C;A;B;B;C;A
2,10062E+11;2024;3;M;1;1;1;2;0;1;0;4317400;Santiago;43;RS;E;C;E;F;3;A;J;A;C;D;B;A;B;B;B;B;A;B;B;B;C;D;A
2,10062E+11;2024;12;F;1;1;1;1;0;;0;4314407;Pelotas;43;RS;C;B;B;B;3;A;D;A;B;C;B;A;B;B;B;B;B;B;B;B;D;D;A
2,10062E+11;2024;14;F;2;2;2;1;18;;0;4314407;Pelotas;43;RS;B;C;C;B;4;A;C;A;B;C;B;A;B;A;A;B;A;B;A;B;A;C;A
2,10062E+11;2024;17;M;0;2;1;1;17;;0;4314902;Porto Alegre;43;RS;B;D;C;F;2;B;D;A;B;C;B;A;B;B;B;B;B;B;B;B;B;B;A
2,10062E+11;2024;15;F;3;2;1;1;18;;0;4311205;Júlio de Castilhos;43;RS;B;C;A;B;2;B;C;A;B;D;A;A;B;A;B;A;A;C;B;B;B;C;A
2,10062E+11;2024;11;F;1;3;1;1;10;;0;4322400;Uruguaiana;43;RS;H;E;F;B;2;B;C;A;B;B;A;A;B;A;A;B;A;B;A;B;A;C;A
2,10062E+11;2024;10;F;1;1;1;1;0;;0;4314902;Porto Alegre;43;RS;G;G;E;D;3;A;B;A;C;D;B;A;B;A;B;B;B;C;A;B;D;D;A
2,10062E+11;2024;6;F;1;1;1;1;2;;0;4313201;Nova Petrópolis;43;RS;B;C;D;B;4;B;M;A;C;D;D;A;B;B;B;B;B;D;A;B;B;B;A
2,10062E+11;2024;5;M;1;3;1;1;2;;0;2919207;Lauro de Freitas;29;BA;E;E;C;B;1;B;C;A;B;B;A;A;B;A;A;A;A;B;A;B;A;B;A
2,10062E+11;2024;11;M;1;1;1;1;9;;0;3530607;Mogi das Cruzes;35;SP;F;E;D;B;4;B;O;A;C;D;C;B;B;A;B;B;B;D;A;B;C;E;A
2,10062E+11;2024;4;M;1;1;1;1;1;;0;4311809;Marau;43;RS;E;E;E;B;3;B;F;A;B;D;C;A;B;A;B;B;A;B;A;B;B;D;A
2,10062E+11;2024;12;F;1;2;1;4;0;;0;4316907;Santa Maria;43;RS;D;C;B;A;4;B;B;D;B;D;A;A;B;A;B;B;A;B;A;B;A;C;A
2,10062E+11;2024;5;F;1;5;1;1;2;;0;3106200;Belo Horizonte;31;MG;E;E;D;B;4;A;B;A;B;C;A;A;B;A;A;A;A;B;A;B;A;B;A
